,City,Country,Lat,Lng,Hotel Name
268,privolzhsk,RU,57.38,41.29,
269,aswan,EG,24.09,32.91,
270,banjar,ID,-8.19,114.97,
271,torres,BR,-29.34,-49.73,
272,hami,CN,42.8,93.45,
273,arroyo,ES,41.61,-4.8,
274,kalmunai,LK,7.42,81.82,
275,bedesa,ET,8.9,40.78,
276,kadoma,JP,34.73,135.58,
277,houma,US,29.6,-90.72,
278,anori,BR,-3.77,-61.64,
279,williston,US,48.15,-103.62,
280,vasto,IT,42.12,14.71,
281,xai-xai,MZ,-25.05,33.64,
282,qaqortoq,GL,60.72,-46.03,
283,macenta,GN,8.54,-9.47,
284,bowen,AU,-20.02,148.23,
285,uige,AO,-7.61,15.06,
286,concarneau,FR,47.88,-3.92,
287,birao,CF,10.28,22.79,
288,kavieng,PG,-2.57,150.8,
289,lincoln,US,40.8,-96.67,
290,bonoua,CI,5.27,-3.6,
291,klaksvik,FO,62.23,-6.59,
292,dingle,PH,11.0,122.67,
293,kloulklubed,PW,7.04,134.26,
294,doha,QA,25.29,51.53,
295,galatas,GR,37.5,23.45,
296,zhigansk,RU,66.77,123.37,
297,kilindoni,TZ,-7.91,39.67,
298,lagoa,PT,39.05,-27.98,
299,harper,LR,4.38,-7.72,
300,mount hagen,GB,53.66,-1.85,
301,toowoomba,AU,-27.55,151.97,
302,pandan,PH,14.05,124.17,
303,denpasar,ID,-8.65,115.22,
304,baruun-urt,MN,46.68,113.28,
305,severnyy,RU,50.68,36.55,
306,pitimbu,BR,-7.47,-34.81,
307,clyde river,US,41.3,-82.98,
308,olavarria,AR,-36.89,-60.32,
309,ponta do sol,PT,38.73,-28.27,
310,mattru,SL,7.62,-11.83,
311,altay,CN,47.87,88.12,
312,victoria,HK,22.29,114.16,
313,kapenguria,KE,1.25,35.09,
314,cervo,ES,43.67,-7.41,
315,yagodnoye,RU,62.55,149.67,
316,gorkovskiy,RU,45.65,41.2,
317,honiara,SB,-9.43,159.95,
318,tezu,IN,27.92,96.17,
319,nuristan,AF,35.3,70.83,
320,sicuani,PE,-14.27,-71.23,
321,yuza,JP,39.0,139.92,
322,litovko,RU,49.24,135.17,
323,laizhou,CN,37.18,119.93,
324,suez,EG,29.97,32.53,
325,kitimat,CA,54.05,-128.65,
326,norwalk,US,33.9,-118.08,
327,ust-nera,RU,64.57,143.2,
328,ostrovnoy,RU,68.05,39.51,
329,namibe,AO,-15.2,12.15,
330,port hardy,CD,-7.03,29.76,
331,tautira,PF,-17.73,-149.15,
332,foumban,CM,5.73,10.9,
333,ranot,TH,7.78,100.32,
334,bontang,ID,0.13,117.5,
335,weyburn,CA,49.67,-103.85,
336,vila,PT,42.03,-8.16,
337,saint-francois,FR,46.42,3.91,
338,verkhnyaya inta,RU,60.98,40.21,
339,troitskiy,RU,57.06,63.75,
340,hegang,CN,47.4,130.37,
341,kanniyakumari,IN,8.08,77.57,
342,mogadishu,SO,2.04,45.34,
343,baykit,RU,61.67,96.37,
344,mandalgovi,MN,45.76,106.27,
345,bosaso,SO,11.28,49.18,
346,svobodnyy,RU,51.4,128.13,
347,nambucca heads,AU,-30.63,152.98,
348,avera,US,33.19,-82.53,
349,pimenta bueno,BR,-20.48,-45.8,
350,galdar,ES,28.15,-15.65,
351,hamilton,US,39.18,-84.53,
352,portland,US,45.52,-122.68,
353,aron,IN,24.38,77.42,
354,addis zemen,US,30.35,-91.27,
355,zhigalovo,RU,54.81,105.16,
356,isilkul,RU,54.91,71.27,
357,mahebourg,MU,-20.41,57.7,
358,jumla,NP,29.27,82.18,
359,garoua,CM,9.3,13.4,
360,margate,GB,51.38,1.39,
